track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3vPZNhkkhAupLlC9v3SrBj,Blue Veins,The Raconteurs,0.356,0.434,4,-9.361,0,0.0454,0.193,0.00565,0.134,0.0796,130.698,232493,3
4QQU3p0Me4SdxfayEOU66N,Steamroller,Firebird,0.264,0.902,5,-5.109,0,0.124,0.00253,0.0398,0.186,0.432,83.595,305907,4
1k7o67gk8hle7UfwC4t7bo,Downtown Tonight,Tyler Bryant & the Shakedown,0.445,0.698,11,-5.74,1,0.0307,0.421,0.0331,0.107,0.521,174.709,247600,4
76o1OKnYwarhColk6NQZYX,Cold Blues,Quaker City Night Hawks,0.539,0.674,7,-6.838,1,0.0268,0.0468,0.0235,0.11,0.766,139.075,217533,4
3l5onnbzAUvv7sPGyzIvyf,I'll Be Doggone,Albert King,0.525,0.577,0,-8.733,1,0.203,0.417,0.0000109,0.175,0.821,169.264,341307,4
38KkuEgkcdrxOIbqijawtU,Hessian Peel,Opeth,0.37,0.731,9,-8.061,1,0.0527,0.00503,0.509,0.106,0.0934,123.602,685800,4
3UwTk1QEuAdfwptvm9BDYF,Bomp,Bronk,0.616,0.683,2,-7.641,1,0.0588,0.0236,0.666,0.114,0.802,180.176,198653,4
1VeQHMy01OoHh5sjEZdvOo,In The Winelight,Kurt Elling,0.695,0.301,8,-14.586,1,0.0397,0.432,0.00000802,0.0884,0.168,83.47,400933,4
1QFd5qx4LaFkBlz1S9TmSd,Precious Memories,East Of The Wall,0.415,0.989,9,-5.895,0,0.121,0.0000161,0.936,0.195,0.209,163.967,304280,4
0MF90HVWjjt5Q7iHFESdB6,Thrown,Cire,0.393,0.756,10,-6.433,0,0.0526,0.0397,0.0134,0.154,0.491,106.405,391427,3
1xNzAKZ1ZKS6s3P8IWnmru,Ride On (feat. Paul Carrack) - Blue Note Version,Gare Du Nord,0.766,0.421,2,-9.791,1,0.0256,0.633,0.00000329,0.114,0.718,90.012,225120,4
2NcgPWSQJgXwR6IjiHwXq0,Evening In Paris,Quincy Jones,0.511,0.162,7,-12.443,0,0.0436,0.969,0.178,0.129,0.199,114.861,248093,4
7AX7qVqFljHOJC3FIQ8a6t,Just Got Back From Baby's,ZZ Top,0.611,0.337,0,-11.391,1,0.0597,0.544,0.23,0.377,0.734,84.545,250120,4
0uAgK4A9KQXBTWS4gWZkFb,Bubber (If Only),Olu Dara,0.751,0.104,1,-18.188,1,0.0681,0.0787,0.637,0.565,0.322,67.125,184093,4
0wNUTleNAhiAFPghCxLt27,School Boy Crush,Average White Band,0.581,0.588,2,-7.469,1,0.0555,0.0928,0.0141,0.0852,0.815,171.645,300837,4
0QzksDNvDDLJ6QUbyxJa78,Creepin',George Duke,0.781,0.458,5,-9.963,1,0.0414,0.236,0.0936,0.183,0.392,90.053,290813,4
4L6qiLkQUwDBsKLHRAc5tY,Fancy Dancer,Commodores,0.785,0.737,10,-6.445,0,0.0784,0.222,0,0.111,0.892,99.888,263160,4
210g0ApTMDQvGFTWSnioAA,Easy,Commodores,0.572,0.565,10,-7.695,0,0.0292,0.167,0.0000564,0.116,0.306,132.25,256547,4
204s2mNS8YwDENS7s36TvV,In the Sun (feat. Angela Johnson),Reel People,0.746,0.929,10,-4.767,0,0.0591,0.0814,0.000535,0.141,0.742,124.008,366840,4
6gfwGOQwmNn038QYQPMqbJ,Steel and Blood,Minus the Bear,0.573,0.821,11,-5.787,1,0.0325,0.0119,0,0.19,0.664,123.065,229053,4
1z7J6x72KMwYNA0GR0uFoz,Fever,James Cotton,0.766,0.467,8,-13.456,1,0.366,0.371,0,0.268,0.704,116.954,312760,4
5gIbHo4j5oxk17ccmcIb1C,Showbiz,Mike Stern,0.739,0.622,10,-9.364,1,0.031,0.0524,0.849,0.0484,0.828,108.394,345107,4
1ecVquoBrGbxoAKpVBKNLX,Turn Your Love Around,Tentet Au Carre,0.754,0.618,5,-7.065,1,0.0579,0.316,0.00112,0.154,0.673,100.062,486013,4
4odjKrQcVe12RiUom35uvY,Close To Home,Blue Six,0.919,0.569,11,-9.481,0,0.0889,0.0455,0.0916,0.108,0.906,123.027,261667,4
1WpBk2uN8eXXb2pdkbOb9D,Black Cow,Steely Dan,0.489,0.335,2,-14.566,1,0.0706,0.211,0.00543,0.0508,0.553,189.688,310200,4
66A8zXf4BmRtk7mYAcQjDZ,Break Up At Food Court - Demo - 2000,Ben Folds,0.656,0.653,1,-7.214,1,0.0252,0.292,0.00218,0.152,0.909,90.549,170373,4
0HxSlUXHp8KJ3ZqrCTyfB4,Funk-a-trunk,Hamadryad,0.237,0.865,9,-5.908,1,0.0637,0.000407,0.00926,0.112,0.479,83.967,536027,4
6PqvBPholDH0mgDVvuaHAM,Single Life,Cameo,0.767,0.764,7,-8.342,1,0.0582,0.14,0.000262,0.264,0.814,110.607,267853,4
32UJmZRXTufLI1X9r28pix,Can't Stop,Missy Elliott,0.57,0.76,1,-4.206,1,0.0908,0.00349,0,0.0846,0.301,129.403,229067,5
0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,226864,4
7aJouq94UPaX7yVXd2MQ4k,On & On,Missy Elliott,0.629,0.881,0,-4.931,1,0.508,0.453,0,0.125,0.554,95.685,285760,4
0Z8taEEMbqDMV0eNmD1ypH,Mommy - With Mommy Interlude,Missy Elliott,0.718,0.504,1,-6.825,0,0.393,0.0521,0.000388,0.274,0.148,145.962,188213,5
3yei0S35YFOEBOiKN287MW,Ragtime Interlude / I'm Really Hot,Missy Elliott,0.879,0.644,7,-8.595,1,0.201,0.345,0.0000037,0.272,0.856,114.002,210707,4
7Ftjiy0DqA8uxdGoeTwUwT,Let It Bump,Missy Elliott,0.946,0.538,8,-7.948,1,0.33,0.398,0.00131,0.0581,0.829,108.142,169867,4
5oShTWuRJ6VhyTHMB4Jemn,Pump It Up (feat. Nelly),Missy Elliott,0.805,0.802,5,-6.296,1,0.277,0.1,0,0.322,0.617,105.883,185427,4
1XChByT5F5hF7z8RcjI4jw,Story Of A Quarryman,Joe Bonamassa,0.395,0.799,7,-5.945,1,0.09,0.113,0.00354,0.161,0.444,143.905,298107,4
7GtOmFf7nUB2XjjruNXI5c,Standing Room In Heaven,That Handsome Devil,0.471,0.618,11,-8.607,0,0.0598,0.142,0.0156,0.246,0.313,139.904,330533,4
4IKCDQZYBcomasI1CmjhWA,Brothers,Two Ton Shoe,0.587,0.944,1,-7.325,1,0.032,0.00798,0,0.171,0.64,102.562,227000,4
1HLCST1CymksfSPyzTnee5,"På drift, Norrbotten (ft. Olle Nyman)",Movits!,0.468,0.764,6,-5.024,1,0.327,0.397,0.00000917,0.145,0.817,88.842,318267,4
2AaK69jzFnoC3tlPogdYsW,Trouble Woman (feat. Roachford),Dr Rubberfunk,0.489,0.857,10,-5.587,0,0.125,0.159,0.000254,0.0832,0.931,83.474,213173,4
12TMWX4lPRjEsykfqL6Xsz,Devils Look Like Angels,The Reverend Peyton's Big Damn Band,0.674,0.793,7,-4.271,0,0.0256,0.0263,0.828,0.1,0.737,91.005,165853,4
5C1FrXg3jpHH96FnQjaaqz,Burglar,Peter Green Splinter Group,0.804,0.49,5,-9.678,1,0.0316,0.582,0.0512,0.118,0.642,96.028,355400,4
6P6PwoZNACtrkTsIZV8XS8,Bound for Glory,Tedeschi Trucks Band,0.483,0.573,7,-8.85,1,0.0376,0.329,0.00284,0.0865,0.512,90.742,328853,4
6qvdtFDBAvjQSbww7VHHZD,Learn How to Love,Tedeschi Trucks Band,0.46,0.588,7,-8.295,1,0.0361,0.0111,0.0054,0.294,0.448,143.163,263253,4
2pYP1kwHKQCFvalyYcxntX,Blame It On Tupelo,The Union,0.344,0.777,7,-8.418,1,0.0352,0.00603,0.0000964,0.0504,0.329,171.792,294600,4
15fPBJeBFHlcAyQlK1wj72,Hesher,Wallpaper.,0.759,0.81,0,-4.082,1,0.404,0.109,0.0000254,0.107,0.822,149.972,188227,4
0J69nBmUBmzHXSDBTdgq2M,Checkin' on Me,Róisín Murphy,0.858,0.603,1,-5.659,1,0.112,0.011,0.000229,0.0719,0.496,105.051,279253,4
1X799qUZe38MBtK8tBhXLf,Reagan's Kids,That Handsome Devil,0.265,0.798,9,-7.109,0,0.152,0.353,0.0000381,0.0849,0.255,168.323,214920,3
06XyoB6sULL2ii10z99VEo,Inside You,That Handsome Devil,0.546,0.769,1,-5.651,0,0.028,0.0185,0,0.104,0.646,95.021,199093,3
4dwJtZrlX1or2kZpIvdgy7,Troopy's Blues,Two Ton Shoe,0.629,0.941,10,-4.641,0,0.102,0.00644,0.00031,0.121,0.729,107.861,239880,4
1eAuKC9uTVIFOtqPMpqru1,The Woman I Love,Son Seals,0.348,0.493,5,-10.957,1,0.0406,0.088,0.000627,0.417,0.638,170.295,429907,3
2eCisU4QtPRHUaFj7ZcB98,El Empe,Rishloo,0.276,0.524,6,-6.185,1,0.0335,0.000543,0.0000147,0.0995,0.11,123.231,217400,4
287k1tGKimVIg5dO5ko18W,Money Honey,The Juke Joint Pimps,0.493,0.67,10,-3.293,0,0.0519,0.428,0.707,0.109,0.808,74.685,167080,4
4QwO7XkVQTNwyzAE7GaZH0,Big Mamou,Nelsen Adelard,0.605,0.522,6,-11.944,0,0.148,0.235,0.00142,0.0559,0.877,152.089,162773,4
7fVlgvCVBYdHWRisXWsdrI,Blues All Night,Nelsen Adelard,0.464,0.298,2,-13.65,0,0.0589,0.286,0.000426,0.127,0.198,182.771,336453,3
2bulK0SYgb1PFk4bX84CzX,Crack,Bloody Diamonds,0.26,0.726,10,-6.751,1,0.041,0.0000835,0.00263,0.499,0.394,62.06,193053,4
0CBvJnDhAUsvn40StOjF98,They've Got Secrets,Bloody Diamonds,0.279,0.441,5,-7.74,1,0.0293,0.00459,0.00907,0.115,0.339,169.226,308427,3
5Y8FSZJIo74U6lXvTEmYhq,Golden Calf,The Band Of Heathens,0.703,0.403,8,-9.263,1,0.067,0.344,0.00000108,0.0845,0.271,110.319,182480,4
3CVX6ZRd0dqjiMQDuF7uBt,Systematomatic,Rishloo,0.335,0.869,1,-5.89,0,0.0893,0.0796,0.00445,0.118,0.24,85.266,221613,4
6IQkTOujklX4Iv9BsyVFMJ,"Oh Well, Okay",Christopher O'Riley,0.39,0.068,0,-25.007,0,0.0786,0.995,0.88,0.0859,0.0438,76.572,186080,4
5FiSo7E1IvpBeowZxMk9UI,River Man,Brad Mehldau,0.436,0.162,8,-22.068,1,0.0322,0.831,0.895,0.0628,0.199,117.194,288800,5
3mKfQpeNak4hjDbrPWU0tE,Messin',Black Joe Lewis & The Honeybears,0.698,0.736,6,-6.819,1,0.201,0.62,0.122,0.0888,0.2,90.717,145893,4
0DnI82S0WYzYfY4IJUJKDr,Beware The Leopard (Jagwar),The Safety Fire,0.423,0.969,9,-5.189,0,0.101,0.000117,0.00128,0.855,0.442,165.022,291653,3
1ONC00cKNdFgKiATMtcxEc,Charlie's Inferno,That Handsome Devil,0.725,0.898,9,-5.204,0,0.0908,0.341,0.00000982,0.281,0.97,145.985,224853,4
764hr2cwVvLZLb9C5Jusai,Kiss The Cook,That Handsome Devil,0.551,0.444,8,-8.616,1,0.042,0.639,0.00000888,0.22,0.191,123.183,203813,4
3Tm9VO0vE4u9EaSkUT3KMr,River Man,Nick Drake,0.335,0.18,3,-12.27,1,0.0337,0.909,0.00383,0.112,0.119,116.376,247320,5
3ZLzAyB6QMSeVT57IWodX5,Funkin' for the Thrill,George Duke,0.733,0.783,11,-10.369,0,0.0867,0.0255,0.00391,0.0393,0.907,124.938,242480,4
1NfXNZmub2Gdh3kF8EU1j1,Strange Feeling,Michael Burks,0.212,0.834,9,-3.923,1,0.0482,0.061,0.0996,0.215,0.565,183.27,270040,4
0ZDJHu0rq4py2ycW7x3Shy,May The Cube Be With You,Thomas Dolby,0.808,0.587,8,-13.279,0,0.0436,0.0326,0.00672,0.271,0.907,103.019,229760,4
7hQyg9fdiPHaSgraG1AfHp,Rock Me Baby,Johnny Winter,0.478,0.772,7,-8.796,1,0.0549,0.27,0.0901,0.203,0.639,95.448,230133,4
0BLyr2LI3CJACYcP6xbFMY,Long Weekend,Trombone Shorty,0.737,0.746,2,-5.355,1,0.0382,0.0134,0.0166,0.0668,0.717,105.964,247533,4
7tbghM1YOdyyo1p4eKyH2F,Funky Brown Shorts,Bonerama,0.666,0.523,0,-6.005,0,0.0484,0.0474,0.212,0.0794,0.541,87.017,284053,4
0ZkkO456qIrAH9cr9DcPlW,Atlas Stone,Haken,0.45,0.896,0,-5.869,1,0.0455,0.00435,0.00124,0.145,0.34,105.082,453867,3
05CGrCiTaAhoP3PTpB46Ct,I Can't Help It,Gretchen Parlato,0.784,0.293,8,-16.272,1,0.106,0.909,0.00144,0.0968,0.641,103.093,291213,4
4gzIyTFiqFIFklobGLPT91,Sam Huff's Flying Ragin' Machine,Lettuce,0.811,0.902,1,-6.063,1,0.0815,0.0401,0.799,0.0393,0.797,120.002,204040,4
2JzYEQGtJwYDR3zry7cZ9F,Jellysickle,Tech N9ne,0.859,0.706,1,-3.437,1,0.259,0.144,0,0.12,0.417,82.491,216680,4
5eWQXCRyrDp3DcQLcxgwXe,Popped Off (feat. Dr. Dre),T.I.,0.605,0.873,1,-5.109,0,0.219,0.0242,0,0.0579,0.568,95.055,224053,4
09h6LveFx6scJ98XCboxRl,As If We Existed,Solillaquists of Sound,0.676,0.556,2,-11.783,0,0.0803,0.272,0.0324,0.486,0.569,166.019,225400,3
3BXaIWfT7VScHZsPUc0JCK,Fountain Of Youth,Supastition,0.623,0.688,10,-8.443,0,0.329,0.248,0,0.366,0.682,89.646,209413,4
2Hcw0eAHFrffTwk7wdVhbJ,Clap (feat. Faith Evans),Saigon,0.368,0.921,6,-4.933,0,0.424,0.0143,0.0000417,0.514,0.469,181.701,390013,4
7vJcRktY04NTgjcP6b8MLq,Still Standing,Pharoahe Monch,0.353,0.67,7,-8.115,0,0.105,0.221,0,0.0462,0.108,92.22,317720,4
2IibRw5TZio67i32At3uNj,You Say (Puppy Love),Brother Ali,0.566,0.536,1,-6.232,0,0.168,0.224,0.00000202,0.0636,0.44,83.387,257200,4
6JRn0YHhCO34oZsqaQoMaa,Breakin' Dawn,Brother Ali,0.642,0.728,8,-7.075,1,0.264,0.367,0.562,0.139,0.398,88.934,277893,4
0zVObQaa58EsBZxEBN2Tlo,Dazed & Confused,The Moleskins,0.466,0.324,11,-13.182,0,0.0975,0.499,0.00559,0.156,0.328,174.488,302306,3
5HhQ6BXrtzhbOddOtorH5i,Dazed and Confused - Of Course,Pumpkin Head Ted,0.292,0.658,9,-5.783,1,0.0305,0.113,0.00126,0.12,0.514,88.724,425973,3
1mScOKklx8m8FvNcarYHOs,Ain't No Sunshine,Rahsaan Roland Kirk,0.289,0.371,2,-12.35,0,0.0335,0.942,0.00713,0.175,0.544,181.102,148800,4
2Gvp1R5x68yOsAnywBWMdi,Time Is Now (feat. Snoop Dogg),Murs,0.745,0.796,6,-6.117,1,0.202,0.0366,0,0.039,0.341,96.071,295168,4
4Ljo0RjpKnMC3E7mWaWXia,Where Do We Go From Here?,Danny Grissett,0.357,0.506,3,-13.644,0,0.0307,0.784,0.884,0.0947,0.615,132.901,360747,1
5oxrRfCVaYkE7xkK3aobLB,If Six Was Nine,Roy Buchanan,0.676,0.618,8,-8.562,1,0.131,0.0661,0.253,0.261,0.79,75.26,249400,4
36Y4bI3yn16ZgNslzHc4nj,Hard White (Up In The Club),Yelawolf,0.687,0.831,10,-4.492,0,0.294,0.0117,0,0.204,0.181,100.667,203760,5
0i4jeFkau63VWI1KogiwoK,Anticipation,Frank Viele & The Manhattan Project,0.64,0.89,2,-4.569,0,0.095,0.211,0.00153,0.156,0.76,98.016,212960,4
25G8NNFBnjXgWCGtyPa1Ax,Pop The Trunk,Yelawolf,0.913,0.666,2,-9.092,1,0.132,0.129,0,0.109,0.118,120.153,228160,4
2ihrJRUk2aFFTCqBD2rEAb,Call On Me,Joe Bagale,0.786,0.582,7,-6.815,1,0.164,0.0388,0.0000111,0.343,0.799,152.813,196441,4
7JaThYjfDDL79csAxuaFDt,Shake It Off (Bad Dreams Part II),Lyrics Born,0.638,0.805,5,-7.171,0,0.484,0.0307,0,0.358,0.717,162.679,267360,4
5jwtAUdhUIUvqXBITInoEp,Mixed Up,The Main Squeeze,0.511,0.784,7,-5.046,1,0.0938,0.0485,0.000184,0.0881,0.641,108.172,296667,4
3NsH19RsdYXc0NPmFfjyE3,After Hours (Extended Euro Mix),Living Legends,0.894,0.814,6,-4.114,0,0.14,0.0467,0.0000103,0.0815,0.292,110.004,500013,4
1vhK81vdWqWL1CijjRJONB,On My Way to Harlem,Gregory Porter,0.623,0.549,10,-10.644,1,0.0409,0.518,0.00932,0.101,0.884,138.857,460493,4
5bNzQ3byxW0L94UToNg6wV,I Just Want To Make Love To You,Cold Blood,0.441,0.49,8,-12.033,1,0.0691,0.113,0.0118,0.131,0.654,94.644,312653,4
4ptf7iQHFo4ttNAKxI9OOR,I Just Want To Make Love To You,Kutiman,0.488,0.569,6,-9.264,0,0.0309,0.137,0.0249,0.128,0.254,73.996,365600,4
5w5vw9cokQ9s8dHQmQqLX4,Bad Dreams,Lyrics Born,0.862,0.668,6,-5.308,1,0.0718,0.11,0.00000459,0.0633,0.889,85.024,200387,4
30d50iqspscgtULK3QcEpf,Slow Down,Spanker,0.856,0.873,0,-2.652,1,0.0891,0.00174,0.899,0.118,0.22,99.984,249600,4
1E4GNtOSpXfk6SkGxsjPix,The End of an Age,Richard Swift,0.461,0.389,1,-11.256,0,0.0331,0.89,0.000397,0.0927,0.371,106.955,227560,3
3s5Ja1eydXvkzJp0KAyMup,Janxta Funk!,Pimps of Joytime,0.771,0.807,7,-6.258,1,0.058,0.0107,0.0135,0.568,0.707,98.003,256960,4
14nBOVonNV00uftfB3vgZY,Rage On!,Big Sam's Funky Nation,0.612,0.841,0,-5.247,1,0.102,0.00488,0.946,0.11,0.702,59.994,164107,4
6JbQOnsi4qfEAiSWezWja5,Get Up Off Your Butt,Darondo,0.692,0.878,2,-8.725,1,0.0554,0.155,0.111,0.222,0.568,113.508,376493,4
5EJXKjUAcRtjNDphJ8erup,Let Me Blow Your Mind,Shawn Lee's Ping Pong Orchestra,0.882,0.684,1,-6.505,1,0.0516,0.0187,0.0399,0.0458,0.752,90.061,231707,4
4s6vI3p3KTnA2BS0z2JRF0,76,Eric Krasno,0.701,0.795,0,-8.861,1,0.0678,0.547,0.797,0.415,0.776,109.966,274480,4
09bDHWxnX2BjMPbj30PRQ4,Do U Want It?,Papa Grows Funk,0.814,0.852,9,-5.941,0,0.0557,0.225,0.161,0.325,0.923,112.032,290040,4
3BRSjAakIomNrlPADOlXaw,Bacano,Orgone,0.767,0.763,2,-8.421,0,0.05,0.456,0.751,0.0721,0.964,113.822,208893,4
36b0vU6pSA8jDoVconvqPq,$2.50 ,Monophonics,0.669,0.69,7,-6.463,1,0.0429,0.122,0.893,0.0256,0.922,110.076,196333,4
7IVrTH1BhaGa4aNDnd0P8k,Can't Leave It Alone,Monophonics,0.565,0.777,7,-4.05,1,0.0629,0.044,0.0129,0.173,0.756,97.823,286267,4
5OerOb9WFPvCnSEnx4cURM,Sugarwalls,The Staxx Brothers,0.412,0.514,1,-7.353,1,0.0315,0.0187,0.0000141,0.27,0.585,90.457,266587,4
4zXYBJsjTyRvtKvXhF5PjV,Poison Ivy,Mingo Fishtrap,0.738,0.883,11,-5.934,0,0.144,0.271,0.0000225,0.134,0.83,109.438,276093,4
7AXYiFfb0rcgbFm3aIiIHt,My Hands Are Rough,Nicholas Howard,0.901,0.762,1,-5.286,1,0.113,0.421,0.0126,0.0141,0.789,107.748,215867,4
7HWlYDP7sOOPLzvHW7lrvA,I Love It,The Soul Of John Black,0.701,0.516,0,-4.587,1,0.0334,0.481,0.00000643,0.111,0.276,122.135,187413,4
7d7fpLt0lyt1cVj15zW936,Nemo,Umphrey's McGee,0.706,0.647,7,-6.673,1,0.0838,0.148,0.00000792,0.144,0.454,95.279,265279,4
2RX8kOnJEVirXwP1FRgXBD,House Party,Nils Landgren Funk Unit,0.797,0.731,9,-6.852,1,0.038,0.265,0.00245,0.067,0.893,104.193,305307,4
7pYvZ1BtrOvqPngoDOgkbZ,Overdue - Blackbeard Remix,Bitter:Sweet,0.74,0.851,10,-6.811,0,0.0611,0.00103,0.022,0.065,0.889,99.999,309093,4
2zeFxpmncdZhzeuud3Xgdg,Overdue,Bitter:Sweet,0.637,0.744,2,-7.042,1,0.0778,0.158,0.00407,0.268,0.689,175.864,214440,4
4eBrqVKjRJooMVDUnxqyfm,That's Alright,Laura Mvula,0.706,0.595,6,-9.582,0,0.0438,0.0295,0.00179,0.216,0.67,109.957,214187,4
48wH8bAxvBJO2l14GmNLz7,Wait for the Moment,Vulfpeck,0.773,0.36,0,-9.722,1,0.0955,0.501,0.00409,0.0823,0.681,79.207,230677,4
1Rz3vHmjEz12i2dZHThe3s,Filature,Benoît Charest,0.715,0.408,1,-8.138,1,0.0245,0.128,0.301,0.0962,0.663,89.977,170853,4
2YwQLvPokhUJ5yOfWtRO7P,The Tide,Hazmat Modine,0.396,0.551,11,-10.707,0,0.0551,0.458,0.373,0.115,0.588,181.557,350573,4
2YEgYAXDL0YHvBBRicGTCj,Medicine,Two Ton Shoe,0.64,0.974,7,-5.773,0,0.132,0.0611,0,0.0615,0.599,114.246,245773,4
5EaWUQU9542uuuXXUAEzTW,I Want to ta ta Ya Baby,Mike Finnigan,0.483,0.598,1,-6.148,1,0.0392,0.159,0.00000236,0.114,0.476,124.657,372933,4
3DozQO9YETRTOxV6XT3dY3,Smart Phone Blues,Pierre Sibille,0.722,0.688,7,-5.278,1,0.0703,0.301,0,0.43,0.754,87.806,202587,4
3lJFo7hr6AgQhtB7q1jFK5,"Nowhere To Run Feat. Sycorax, Madwrecks",Supastition,0.673,0.851,1,-5.516,0,0.164,0.0136,0,0.218,0.843,85.675,240253,4
61VxgC1I7byhugzTdM4AR0,Dazed and Confused (feat. Laura Gibson & John Moen),Portland Cello Project,0.23,0.817,4,-5.21,0,0.194,0.447,0.00137,0.0926,0.383,182.467,343733,4
7HRMo1cEFxoInV9fWjkoqB,Hele Meneer,Adje,0.569,0.676,1,-6.41,0,0.199,0.37,0,0.0994,0.396,94.639,163264,4
2H4FQWFt4f6EY6zQhpIunW,You Could Be Mine,Amp Fiddler,0.833,0.606,11,-4.239,0,0.0437,0.0652,0,0.0729,0.876,99.192,253880,4
3yFpJho1CNOboe57GOte9M,Caravan,Jazztronik,0.418,0.647,7,-5.843,0,0.0465,0.0597,0.522,0.107,0.582,99.764,332507,3
6ky18aPUPqThPQJ15v38ZC,Tight Like That,Clutch,0.549,0.589,2,-6.631,0,0.0969,0.516,0.0029,0.185,0.505,73.188,289827,4
47W6YR93MPCGLEUReLMyDm,Virtual Insanity - Remastered,Jamiroquai,0.662,0.949,6,-4.758,1,0.108,0.127,0,0.135,0.515,91.954,229360,4
0JZjn9sGtDwfHHCsQ6s7Jm,The Moth,Kingcrow,0.491,0.75,0,-8.361,1,0.037,0.00156,0.00266,0.403,0.617,84.919,262253,4
3v6DcgLGFIiRJZ5f9GWAb3,Truth Defiled,Trials,0.396,0.992,6,-5.221,1,0.126,0.00000831,0.0327,0.223,0.177,95.267,274089,4
4GhBcTl9IGffZjZ2e0moqK,From the Corner to the Block,Galactic,0.725,0.774,5,-4.745,0,0.153,0.0672,0.0035,0.0693,0.825,96.034,201000,4
3ieivIBQTmCuhXiwAMCDlo,Caméleon Chameleon,Escort,0.818,0.757,7,-4.305,1,0.0414,0.102,0.0127,0.171,0.877,112.013,326533,4
637mDt2JwDlvUqa6WURqhQ,Alibi,Dirt Poor Robins,0.568,0.847,0,-3.356,0,0.0565,0.0867,0.000671,0.106,0.53,122.865,291667,4
5liaFrDdoINOvJ4B8WDPa1,Romantic (feat. Soulive),Goapele,0.579,0.503,11,-8.599,0,0.237,0.537,0.0000465,0.216,0.456,73.349,338453,4
0lCzuPbNN69pTHyGr84CUD,Damages,Polarization,0.473,0.958,4,-5.842,1,0.0518,0.0000389,0.931,0.0846,0.163,139.999,261965,4
4MAbND60ugVoGlUzDQ7Z2r,All Through the Night,Escort,0.85,0.654,10,-6.084,0,0.0823,0.0137,0.0231,0.099,0.933,122.023,258333,4
